"","Interval","TileID","TotalSittingCapacity","TotalStandingCapacity","TotalCapacity"
"82",1970-01-01 00:30:00,"88a8a06705fffff",0,0,0
"83",1970-01-01 00:30:00,"88a8a06707fffff",0,0,0
"84",1970-01-01 00:30:00,"88a8a0670dfffff",0,0,0
"85",1970-01-01 00:30:00,"88a8a06735fffff",60,103,163
"86",1970-01-01 00:30:00,"88a8a06739fffff",0,0,0
"87",1970-01-01 00:30:00,"88a8a0674dfffff",60,103,163
"88",1970-01-01 00:30:00,"88a8a0676bfffff",60,103,163
"89",1970-01-01 00:30:00,"88a8a06a91fffff",51,150,201
"90",1970-01-01 00:30:00,"88a8a06a9bfffff",162,403,565
"91",1970-01-01 00:30:00,"88a8a06ad3fffff",0,0,0
"92",1970-01-01 00:30:00,"88a8a06adbfffff",0,0,0
"93",1970-01-01 00:30:00,"88a8a06e49fffff",108,199,307
"94",1970-01-01 00:30:00,"88a8a06e4dfffff",168,302,470
"95",1970-01-01 00:30:00,"88a8a06e6dfffff",120,206,326
"96",1970-01-01 00:30:00,"88a8a06f61fffff",60,103,163
"97",1970-01-01 00:30:00,"88a8a06f67fffff",60,103,163
"98",1970-01-01 00:30:00,"88a8a070b3fffff",171,356,527
"99",1970-01-01 00:30:00,"88a8a070b7fffff",171,356,527
"100",1970-01-01 00:30:00,"88a8a0719bfffff",60,103,163
"101",1970-01-01 00:30:00,"88a8a07441fffff",111,253,364
"102",1970-01-01 00:30:00,"88a8a07445fffff",0,0,0
"103",1970-01-01 00:30:00,"88a8a07447fffff",111,253,364
"104",1970-01-01 00:30:00,"88a8a0744bfffff",51,150,201
"105",1970-01-01 00:30:00,"88a8a07461fffff",171,356,527
"106",1970-01-01 00:30:00,"88a8a07465fffff",111,253,364
"107",1970-01-01 00:30:00,"88a8a07467fffff",120,206,326
"108",1970-01-01 00:30:00,"88a8a07469fffff",0,0,0
"109",1970-01-01 00:30:00,"88a8a0746bfffff",111,253,364
"110",1970-01-01 00:30:00,"88a8a07507fffff",222,506,728
"111",1970-01-01 00:30:00,"88a8a07509fffff",0,0,0
"112",1970-01-01 00:30:00,"88a8a07515fffff",120,206,326
"113",1970-01-01 00:30:00,"88a8a0751dfffff",120,206,326
"114",1970-01-01 00:30:00,"88a8a07521fffff",342,712,1054
"115",1970-01-01 00:30:00,"88a8a07525fffff",282,609,891
"116",1970-01-01 00:30:00,"88a8a0752bfffff",333,759,1092
"117",1970-01-01 00:30:00,"88a8a0752dfffff",402,815,1217
"118",1970-01-01 00:30:00,"88a8a07531fffff",651,1180,1831
"119",1970-01-01 00:30:00,"88a8a07533fffff",60,103,163
"120",1970-01-01 00:30:00,"88a8a07535fffff",111,253,364
"121",1970-01-01 00:30:00,"88a8a07537fffff",60,103,163
"122",1970-01-01 00:30:00,"88a8a07539fffff",180,309,489
"123",1970-01-01 00:30:00,"88a8a0753bfffff",120,206,326
"124",1970-01-01 00:30:00,"88a8a0753dfffff",162,403,565
"125",1970-01-01 00:30:00,"88a8a07543fffff",60,103,163
"126",1970-01-01 00:30:00,"88a8a07545fffff",60,103,163
"127",1970-01-01 00:30:00,"88a8a07547fffff",120,206,326
"128",1970-01-01 00:30:00,"88a8a07553fffff",120,206,326
"129",1970-01-01 00:30:00,"88a8a07557fffff",120,206,326
"130",1970-01-01 00:30:00,"88a8a07559fffff",111,253,364
"131",1970-01-01 00:30:00,"88a8a0755bfffff",120,206,326
"132",1970-01-01 00:30:00,"88a8a0755dfffff",111,253,364
"133",1970-01-01 00:30:00,"88a8a07561fffff",411,768,1179
"134",1970-01-01 00:30:00,"88a8a07565fffff",171,356,527
"135",1970-01-01 00:30:00,"88a8a07567fffff",513,1068,1581
"136",1970-01-01 00:30:00,"88a8a07569fffff",171,356,527
"137",1970-01-01 00:30:00,"88a8a0756bfffff",120,206,326
"138",1970-01-01 00:30:00,"88a8a0756dfffff",471,871,1342
"139",1970-01-01 00:30:00,"88a8a07633fffff",111,253,364
"140",1970-01-01 00:30:00,"88a8a07637fffff",51,150,201
"141",1970-01-01 00:30:00,"88a8a076c7fffff",51,150,201
"142",1970-01-01 00:30:00,"88a8a076e9fffff",111,253,364
"143",1970-01-01 00:30:00,"88a8a076ebfffff",111,253,364
"144",1970-01-01 00:30:00,"88a8a076edfffff",111,253,364
"145",1970-01-01 01:00:00,"88a8a02801fffff",51,150,201
"146",1970-01-01 01:00:00,"88a8a02809fffff",48,71,119
"147",1970-01-01 01:00:00,"88a8a0280bfffff",33,60,93
"148",1970-01-01 01:00:00,"88a8a02853fffff",33,60,93
"149",1970-01-01 01:00:00,"88a8a02857fffff",33,60,93
"150",1970-01-01 01:00:00,"88a8a02a01fffff",51,150,201
"151",1970-01-01 01:00:00,"88a8a02a05fffff",51,150,201
"152",1970-01-01 01:00:00,"88a8a02a0bfffff",51,150,201
"153",1970-01-01 01:00:00,"88a8a02a11fffff",171,356,527
"154",1970-01-01 01:00:00,"88a8a02a13fffff",120,206,326
"155",1970-01-01 01:00:00,"88a8a02a19fffff",111,253,364
"156",1970-01-01 01:00:00,"88a8a02a57fffff",171,356,527
"157",1970-01-01 01:00:00,"88a8a02a61fffff",51,150,201
"158",1970-01-01 01:00:00,"88a8a02a63fffff",51,150,201
"159",1970-01-01 01:00:00,"88a8a02a89fffff",144,313,457
"160",1970-01-01 01:00:00,"88a8a02a8bfffff",144,313,457
"161",1970-01-01 01:00:00,"88a8a02a9dfffff",111,253,364
"162",1970-01-01 01:00:00,"88a8a02aa9fffff",33,60,93
"163",1970-01-01 01:00:00,"88a8a02aadfffff",33,60,93
"164",1970-01-01 01:00:00,"88a8a02ac7fffff",144,313,457
"165",1970-01-01 01:00:00,"88a8a02ae3fffff",33,60,93
"166",1970-01-01 01:00:00,"88a8a02aebfffff",33,60,93
"167",1970-01-01 01:00:00,"88a8a03987fffff",51,150,201
"168",1970-01-01 01:00:00,"88a8a03997fffff",51,150,201
"169",1970-01-01 01:00:00,"88a8a039a1fffff",51,150,201
"170",1970-01-01 01:00:00,"88a8a039abfffff",171,356,527
"171",1970-01-01 01:00:00,"88a8a039adfffff",51,150,201
"172",1970-01-01 01:00:00,"88a8a039b9fffff",120,206,326
"173",1970-01-01 01:00:00,"88a8a039bbfffff",111,253,364
"174",1970-01-01 01:00:00,"88a8a039bdfffff",120,206,326
"175",1970-01-01 01:00:00,"88a8a06085fffff",273,656,929
"176",1970-01-01 01:00:00,"88a8a0608dfffff",273,656,929
"177",1970-01-01 01:00:00,"88a8a060a3fffff",162,403,565
"178",1970-01-01 01:00:00,"88a8a060abfffff",213,553,766
"179",1970-01-01 01:00:00,"88a8a060c3fffff",213,553,766
"180",1970-01-01 01:00:00,"88a8a060c7fffff",213,553,766
"181",1970-01-01 01:00:00,"88a8a060cbfffff",210,499,709
"182",1970-01-01 01:00:00,"88a8a06193fffff",162,403,565
"183",1970-01-01 01:00:00,"88a8a06197fffff",60,103,163
"184",1970-01-01 01:00:00,"88a8a0619bfffff",51,150,201
"185",1970-01-01 01:00:00,"88a8a061a1fffff",210,499,709
"186",1970-01-01 01:00:00,"88a8a061a3fffff",210,499,709
"187",1970-01-01 01:00:00,"88a8a061a5fffff",309,745,1054
"188",1970-01-01 01:00:00,"88a8a061b1fffff",102,300,402
"189",1970-01-01 01:00:00,"88a8a061b3fffff",162,403,565
"190",1970-01-01 01:00:00,"88a8a061b5fffff",162,403,565
"191",1970-01-01 01:00:00,"88a8a061b7fffff",60,103,163
"192",1970-01-01 01:00:00,"88a8a06281fffff",51,150,201
"193",1970-01-01 01:00:00,"88a8a06283fffff",111,253,364
"194",1970-01-01 01:00:00,"88a8a06287fffff",159,349,508
"195",1970-01-01 01:00:00,"88a8a06289fffff",111,253,364
"196",1970-01-01 01:00:00,"88a8a06293fffff",0,0,0
"197",1970-01-01 01:00:00,"88a8a06299fffff",0,0,0
"198",1970-01-01 01:00:00,"88a8a0629bfffff",0,0,0
"199",1970-01-01 01:00:00,"88a8a062b5fffff",159,349,508
"200",1970-01-01 01:00:00,"88a8a062bdfffff",159,349,508
"201",1970-01-01 01:00:00,"88a8a062c3fffff",111,253,364
"202",1970-01-01 01:00:00,"88a8a062cbfffff",171,356,527
"203",1970-01-01 01:00:00,"88a8a062d3fffff",0,0,0
"204",1970-01-01 01:00:00,"88a8a062d9fffff",0,0,0
"205",1970-01-01 01:00:00,"88a8a06541fffff",60,103,163
"206",1970-01-01 01:00:00,"88a8a06549fffff",120,206,326
"207",1970-01-01 01:00:00,"88a8a06705fffff",60,103,163
"208",1970-01-01 01:00:00,"88a8a06707fffff",60,103,163
"209",1970-01-01 01:00:00,"88a8a0670dfffff",0,0,0
"210",1970-01-01 01:00:00,"88a8a0672bfffff",0,0,0
"211",1970-01-01 01:00:00,"88a8a06731fffff",60,103,163
"212",1970-01-01 01:00:00,"88a8a06735fffff",60,103,163
