OnibusID,planta_chassi,SittingCapacity,StandingCapacity,TotalCapacity
D86134,4005,,,
D86139,4005,,,
D86141,4005,,,
D86158,4005,,,
D86166,4005,,,
D86176,4005,,,
D86177,4005,,,
D86178,4005,,,
D86183,4005,,,
D86184,4005,,,
D86217,4005,,,
D86253,4005,,,
D86270,4005,,,
D86315,4005,,,
D86332,4005,,,
D86333,4005,,,
D86335,4005,,,
D86338,4005,,,
D86339,4005,,,
D86351,4005,,,
B27005,4007,,,
B27009,4007,,,
B27013,4007,,,
B27014,4007,,,
B27019,4007,,,
B27020,4007,,,
B27024,4007,,,
B27025,4007,,,
B27026,4007,,,
B27037,4007,,,
B27084,4007,,,
B27085,4007,,,
B27087,4007,,,
B27131,4007,,,
B27178,4007,,,
B27179,4007,,,
B27180,4007,,,
B27182,4007,,,
B27183,4007,,,
B28712,4009,,,
B28713,4009,,,
B28714,4009,,,
B28503,4010,,,
B28532,4010,,,
B28566,4010,,,
B28610,4010,,,
